2021-10-27 00:53:23.206391+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] TP4 Supported: 0
2021-10-27 00:53:23.206392+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Enhanced Framing: 1
2021-10-27 00:53:23.206393+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Does NOT require AUX CH handshake?: 1
2021-10-27 00:53:23.206393+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Number of Receive Ports: 1
2021-10-27 00:53:23.206394+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Has downstream Port(s): 0
2021-10-27 00:53:23.206395+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Downstream detailed capability available: 0
2021-10-27 00:53:23.206396+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Has Main Link channel ANSI coding: 1
2021-10-27 00:53:23.206396+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Number of downstream ports: 0
2021-10-27 00:53:23.206397+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] OUI Supported?: 0
2021-10-27 00:53:23.206398+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] DDI=0 MSATimingParamsIgnoreSupport = 0
2021-10-27 00:53:23.206858+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] MST Capable: 0
2021-10-27 00:53:23.207445+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Sink Count 1
2021-10-27 00:53:23.207676+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] eDP Configuration 3
2021-10-27 00:53:23.207676+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DPCD      ] Link Training Interval 0
2021-10-27 00:53:23.207679+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0: fIsHDMI = 0, fEnableAudio = 0, newOnline = 1, fOnline = 1, fMaxPixelClock = 720000000
2021-10-27 00:53:23.207680+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0: newOnline: 1, fOnline: 1
2021-10-27 00:53:23.207681+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0: edid != fEDID
2021-10-27 00:53:23.207822+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][PANEL     ] [key:0x080/on:1] fPSREnablekeys: 0x00000a5f -> 0x00000adf (fullset:0x00001fff)
2021-10-27 00:53:23.207823+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][PANEL     ] [key:0x400/on:1] fPSREnablekeys: 0x00000adf -> 0x00000edf (fullset:0x00001fff)
2021-10-27 00:53:23.208117+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][ERROR][PANEL     ] TCON: Aux not ready at HW
2021-10-27 00:53:23.208118+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][ERROR][PANEL     ] TCON: BAN_DPCD_0x0_EXPECTED failed, got 41820a11
2021-10-27 00:53:23.208399+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][INFO ][VRR       ] Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOG Handler!!
2021-10-27 00:53:23.209617+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 1 at time 19632627
2021-10-27 00:53:23.209619+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 1
2021-10-27 00:53:23.209665+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][INFO ][VRR       ] Registering for VBL Interrupt - fLegacyVBLPath = 0, Proc = IOG Handler!!
2021-10-27 00:53:23.210033+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 1 at time 19633042
2021-10-27 00:53:23.210034+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeDidChange notification received on fb 1
2021-10-27 00:53:23.210192+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] frameBufferNotificationcallback notification received on Fb 2 at time 19633202
2021-10-27 00:53:23.210193+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] kIOFBNotifyDisplayModeWillChange notification received on fb 2
2021-10-27 00:53:23.210329+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Get callback caps
2021-10-27 00:53:23.210345+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Get link config
2021-10-27 00:53:23.210378+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] AGDC FB0 fOnline = 1 bootdisplay = 1
2021-10-27 00:53:23.210380+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0 reported as online to AGDC
2021-10-27 00:53:23.210384+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00000000, data size = 1, ddi = 0, port index = 0
2021-10-27 00:53:23.210633+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] Getting stream aux access: RD address = 0x00000100, data size = 2, ddi = 0, port index = 0
2021-10-27 00:53:23.210870+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][AGDC      ] Test resource set config
2021-10-27 00:53:23.210871+1000 0x2fa      Default     0x0                  0      0    kernel: (AppleIntelICLLPGraphicsFramebuffer) [IGFB][LOG  ][DISPLAY   ] FB0: Testing resource set config
